"","Year","Result","CSC1010H","CSC1011H","CSC1015F","CSC1016S","CSC1017F","CSC1019F","CSC2001F","CSC2002S","CSC2004Z","CSC3002F","CSC3003S"
"1",2019,"Pass ",48,17,556,424,299,0,221,200,182,151,142
"2",2019,"Did Not Finish",2,3,10,41,27,0,2,13,7,5,11
"3",2019,"Fail",27,6,110,96,51,0,41,32,40,17,28
"4",2020,"Pass ",33,29,906,491,22,123,292,256,0,164,165
"5",2020,"Did Not Finish",4,1,14,57,2,1,8,10,1,2,9
"6",2020,"Fail",17,5,13,147,1,1,19,61,0,2,8
"7",2021,"Pass ",31,10,847,467,27,122,287,225,504,173,158
"8",2021,"Did Not Finish",1,1,22,30,9,2,6,13,8,12,6
"9",2021,"Fail",18,14,102,196,7,16,96,131,78,34,52
"10",2022,"Pass ",70,16,748,514,19,137,334,274,235,179,167
"11",2022,"Did Not Finish",0,0,15,13,2,7,7,31,5,10,10
"12",2022,"Fail",29,2,158,127,23,15,79,111,114,27,54
"13",2023,"Pass ",71,24,759,437,32,148,332,308,317,230,231
"14",2023,"Did Not Finish",0,0,10,4,7,11,1,6,6,1,1
"15",2023,"Fail",23,22,160,177,20,10,104,124,101,13,39
